time,date,hour,minute,second,price,volume,daytime,log_return
2010-10-06 10:30:00,17206461136,8560,29357,25915,53687.13729999982,159028,88561615.0,-0.049224492150470145
2010-10-06 10:40:00,17166259124,8540,37970,26875,53583.89089999982,150470,89223875.0,-0.0019249639649023547
2010-10-06 10:50:00,21166359318,10530,58011,33370,65982.9542,202818,111134470.0,0.20814795897786043
2010-10-06 11:00:00,15417471602,8437,4302,23227,48046.241799999756,166443,84823427.0,-0.3172325209747417
2010-10-06 11:10:00,19799490910,10835,13408,22476,61646.081099999654,263878,109713276.0,0.24924574268255806
2010-10-06 11:20:00,21548278432,11792,25466,34569,67042.31560000002,220170,120501169.0,0.08391433547019793
2010-10-06 11:30:00,22995550864,12584,39626,31931,71627.21310000011,224362,129834531.0,0.06615107683676953
2010-10-06 11:40:00,16724036992,9152,36680,22446,52089.96709999948,175025,95210446.0,-0.31850271282914255
2010-10-06 11:50:00,16824542022,9207,46502,19623,52461.329699999565,176889,96739823.0,0.007103960890750902
2010-10-06 12:00:00,28282115442,16884,6158,40413,88327.04550000107,278495,169496213.0,0.520970030717139
2010-10-06 12:10:00,30392721072,18144,22513,45689,95071.23759999975,303500,183736989.0,0.07358012829695579
2010-10-06 12:20:00,33106356882,19764,39382,51754,103503.91769999888,417323,201629954.0,0.08498298410036931
2010-10-06 12:30:00,11980199576,7152,20531,16849,37447.4079000003,102373,73589949.0,-1.0166719715484507
2010-10-06 12:40:00,13467674020,8040,30413,20677,42092.51869999979,123239,83461977.0,0.11693252919488024
2010-10-06 12:50:00,20643733162,12324,55268,30293,64573.3818999999,191311,128797093.0,0.4279322591737108
2010-10-06 13:00:00,22714136780,14690,4444,40950,71063.18549999988,283682,147385350.0,0.09576713691913022
2010-10-06 13:10:00,18995450670,12285,14226,28467,59478.00389999928,190886,124301067.0,-0.17796285605295697
2010-10-06 13:20:00,14713936392,9516,17438,20129,46078.63419999977,170470,96923929.0,-0.25525718565784417
2010-10-06 13:30:00,11457573420,7410,19838,14247,35878.669599999856,99799,76098047.0,-0.25020641884100875
2010-10-06 13:40:00,10774139216,6968,23491,17411,33743.12899999992,97347,72046511.0,-0.06136614594333684
2010-10-06 13:50:00,17266764154,11167,46328,24681,54053.94539999987,153254,116327481.0,0.471205725388761
2010-10-06 14:00:00,22131207606,15414,3658,33416,69308.34749999896,211389,154539216.0,0.2485828166913955
2010-10-06 14:10:00,25809691704,17976,18969,33722,80851.10270000031,287248,181690622.0,0.15404387128023384
2010-10-06 14:20:00,41066355258,28602,50387,67142,128698.80769999979,693930,291125842.0,0.4648656256114377
2010-10-06 14:30:00,22372419678,15582,39180,29902,70212.3020999998,241704,159767902.0,-0.6059513111107604
2010-10-06 14:40:00,17246663148,12012,38196,25710,54130.16620000002,152276,123965310.0,-0.26013190807786113
2010-10-06 14:50:00,27779590292,19348,76569,43921,87246.99919999937,266830,201180821.0,0.4773515361775823
2010-10-06 15:00:00,17930097352,13380,4660,27068,56286.26959999939,168517,134293068.0,-0.4382925411840743
2010-10-06 15:10:00,19739187892,14730,13945,28189,61969.8307999995,192454,148722689.0,0.0961970404330951
2010-10-06 15:20:00,32282215636,24090,38360,45458,101410.31599999958,344425,244781458.0,0.49252715506566674
2010-10-06 15:30:00,44905647404,33510,78748,66435,140980.61110000126,504982,343041235.0,0.3294475493111916
2010-10-06 15:40:00,49589181802,37005,109344,63698,155944.69949999894,841853,381048098.0,0.10087908302460354
2010-10-06 15:50:00,50152009970,37425,138229,70166,157592.9899999986,573808,388143066.0,0.01051424272074169
2010-10-06 16:00:00,40202012,32,0,0,126.37,1533,320000.0,-7.128556863950635
2010-10-06 16:10:00,0,0,0,0,0.0,0,0.0,-inf
2010-10-06 16:20:00,0,0,0,0,0.0,0,0.0,
2010-10-06 16:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 16:40:00,0,0,0,0,0.0,0,0.0,
2010-10-06 16:50:00,0,0,0,0,0.0,0,0.0,
2010-10-06 17:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 17:10:00,0,0,0,0,0.0,0,0.0,
2010-10-06 17:20:00,0,0,0,0,0.0,0,0.0,
2010-10-06 17:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 17:40:00,0,0,0,0,0.0,0,0.0,
2010-10-06 17:50:00,0,0,0,0,0.0,0,0.0,
2010-10-06 18:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 18:10:00,0,0,0,0,0.0,0,0.0,
2010-10-06 18:20:00,0,0,0,0,0.0,0,0.0,
2010-10-06 18:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 18:40:00,0,0,0,0,0.0,0,0.0,
2010-10-06 18:50:00,0,0,0,0,0.0,0,0.0,
2010-10-06 19:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 19:10:00,0,0,0,0,0.0,0,0.0,
2010-10-06 19:20:00,0,0,0,0,0.0,0,0.0,
2010-10-06 19:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 19:40:00,0,0,0,0,0.0,0,0.0,
2010-10-06 19:50:00,0,0,0,0,0.0,0,0.0,
2010-10-06 20:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 20:10:00,0,0,0,0,0.0,0,0.0,
