time,date,hour,minute,second,bid,ofr,bidsiz,ofrsiz,bid_offer_diff
2010-01-04 11:40:00,20100104.0,11.0,41.56961041484504,27.863693772466725,58.928031672011876,59.00969882444535,3.9307296220732537,4.014670164189255,0.08166715243368337
2010-01-04 11:45:00,20100104.0,11.0,46.45276292335116,29.2927807486631,58.800643939393794,58.77728832442157,4.005570409982175,4.5060160427807485,-0.02335561497326761
2010-01-04 11:50:00,20100104.0,11.0,51.96770988574267,21.827372081470443,58.88394187779525,58.86571286636894,4.6087928464977646,4.472429210134128,-0.018229011425733
2010-01-04 11:55:00,20100104.0,11.0,57.48163712771789,32.78530970217431,58.87690480540705,58.973343687192646,3.9424447286680064,5.5523478896400515,0.09643888178328751
2010-01-04 12:00:00,20100104.0,12.0,2.0107452817192453,24.94158975065436,58.89827111172428,58.9143849014997,4.740460118473619,4.750103320016531,0.016113789778205965
2010-01-04 12:05:00,20100104.0,12.0,6.76553958291152,23.491395019234663,58.96375379631663,58.96387325369319,4.743267867989472,4.959303502733347,0.00011945738003680353
2010-01-04 12:10:00,20100104.0,12.0,11.862029318769762,29.20465651049152,58.7955446967531,58.80142569703965,5.084794481172751,4.335728657660248,0.0058810002874381435
2010-01-04 12:15:00,20100104.0,12.0,16.967316341829086,27.364317841079462,58.86803598201068,58.85381709145617,5.43928035982009,5.299550224887557,-0.014218890554723142
2010-01-04 12:20:00,20100104.0,12.0,22.51123459772892,28.552790529113313,58.838040589515735,58.89057260207995,6.611500362406378,4.922203430780382,0.052532012563422124
2010-01-04 12:25:00,20100104.0,12.0,27.560403894698883,32.07609087630725,58.8742192571236,58.893808150018124,6.089073205914173,5.410385863685539,0.019588892895781057
2010-01-04 12:30:00,20100104.0,12.0,31.635805626598465,30.59846547314578,58.79929411764821,58.75840409207033,5.8158567774936065,5.710485933503836,-0.04089002557544814
2010-01-04 12:35:00,20100104.0,12.0,36.84054864980712,26.172953279039863,58.7887548221163,58.82222031718783,5.414487783969139,5.764252036005144,0.033465495070722565
2010-01-04 12:40:00,20100104.0,12.0,41.75,19.732060185185187,58.70371817129606,58.7288802083332,5.252025462962963,5.478877314814815,0.025162037037037115
